n,m,k,false_pos,probes,empirical_p,theory_p,elapsed_s
1000,9586,7,45,5000,0.009000,0.010035,0.009090
2000,19171,7,44,5000,0.008800,0.010037,0.011348
3000,28756,7,57,5000,0.011400,0.010038,0.013719
4000,38341,7,66,5000,0.013200,0.010038,0.016435
5000,47926,7,46,5000,0.009200,0.010039,0.018342
6000,57511,7,43,5000,0.008600,0.010039,0.020729
7000,67096,7,51,5000,0.010200,0.010039,0.023188
8000,76681,7,48,5000,0.009600,0.010039,0.024827
9000,86266,7,56,5000,0.011200,0.010039,0.027688
10000,95851,7,44,5000,0.008800,0.010039,0.029318
11000,105436,7,45,5000,0.009000,0.010039,0.031533
12000,115021,7,59,5000,0.011800,0.010039,0.034377
13000,124606,7,36,5000,0.007200,0.010039,0.035311
14000,134191,7,51,5000,0.010200,0.010039,0.037777
15000,143776,7,62,5000,0.012400,0.010039,0.041771
16000,153361,7,53,5000,0.010600,0.010039,0.043431
17000,162946,7,50,5000,0.010000,0.010039,0.045435
18000,172532,7,49,5000,0.009800,0.010039,0.047996
19000,182117,7,55,5000,0.011000,0.010039,0.050982
20000,191702,7,49,5000,0.009800,0.010039,0.053395
